Mila Delgado|md@sapo.pt
Blanche Duffy|bd@sapo.pt
Evelyn Koch|ek@sapo.pt
Mandy Zimmerman|mz@sapo.pt
Lincoln Burris|lb@sapo.pt
Hanan Greig|hg@sapo.pt
Emil Middleton|em@sapo.pt
Monika Sutherland|ms@sapo.pt
Elisabeth Philip|ep@sapo.pt
Mahira Redmond|mr@sapo.pt
Kelsi Burks|kb@sapo.pt
Tammy Bautista|tb@sapo.pt
Kurtis Walter|kw@sapo.pt
Shahid Walker|sw@sapo.pt
Dominykas Gonzales|dg@sapo.pt
Victoria Bevan|vb@sapo.pt
Kaylie Carrillo|kc@sapo.pt
Bella Lacey|bl@sapo.pt
Corbin West|cw@sapo.pt
Hebe Schmitt|hs@sapo.pt
